condition,time,mean,sd,n,sem,ci
reward,5601,0.3638781887380676,0.38747400769730644,5,0.1732836441450908,0.33963594252437795
reward,5801,0.3488119553480107,0.3829610554598385,5,0.17126539054865317,0.3356801654753602
reward,6001,0.32043829268792834,0.3826166793273775,5,0.1711113808602509,0.3353783064860918
reward,6201,0.331094604254673,0.3773788716425813,5,0.1687689620529959,0.33078716562387195
reward,6401,0.36646417804685816,0.35660320360218795,5,0.159477800849738,0.31257648966548646
reward,6601,0.33886193526610325,0.39622802928034767,5,0.1771985616123269,0.3473091807601607
reward,6801,0.34311926953861266,0.4079343126030533,5,0.18243377066701527,0.35757019050734995
reward,7001,0.3680820394088788,0.394118511112262,5,0.1762551564076048,0.3454601065589054
reward,7201,0.33568835383291096,0.42134807899686944,5,0.18843258936519028,0.3693278751557729
reward,7401,0.3290129006335489,0.4226972708643227,5,0.18903596631125336,0.3705104939700566
reward,7601,0.3159144317043209,0.4109400773579415,5,0.18377798953027588,0.3602048594793407
reward,7801,0.32252404167886695,0.3989193223313814,5,0.17840214445422373,0.3496682031302785
reward,8001,0.3213180135329996,0.40602326312188086,5,0.18157912335736182,0.35589508178042917
reward,8201,0.3036093054142777,0.4052209204700294,5,0.18122030481520435,0.3551917974378005
reward,8401,0.28383941770127225,0.39298800675134,5,0.17574957948762848,0.3444691757957518
reward,8601,0.2854007217587069,0.3809862059046808,5,0.1703822109785196,0.3339491335178984
reward,8801,0.27529376459954485,0.38491947843439117,5,0.17214122392861259,0.3373967989000807
reward,9001,0.23776178130867073,0.3931615041999972,5,0.17582716990545255,0.344621253014687
reward,9201,0.23931399068864515,0.3859019906246036,5,0.17258061673782005,0.3382580088061273
reward,9401,0.26015805372700657,0.36707413150419305,5,0.16416054216501455,0.3217546626434285
reward,9601,0.24763596943760302,0.37555867528683895,5,0.16795494549622844,0.3291916931726077
reward,9801,0.24349950724838312,0.37662113364004873,5,0.16843009131643635,0.33012297898021525
reward,10001,0.22868849830596466,0.39541697700026973,5,0.1768358480060148,0.34659826209178896
reward,10201,0.250046167111733,0.39095406838125146,5,0.1748399745961159,0.3426863502083871
reward,10401,0.25001628344732657,0.3862911799478977,5,0.17275466749442056,0.3385991482890643
reward,10601,0.2375345203252907,0.37849318410321825,5,0.16926729773502774,0.3317639035606544
reward,10801,0.21986279888340868,0.3804037607308429,5,0.17012173357814597,0.3334385978131661
reward,11001,0.21035087726321855,0.3913764559664392,5,0.17502887206678225,0.3430565892508932
reward,11201,0.22449193922833519,0.4022717401884567,5,0.17990139129770463,0.3526067269435011
reward,11401,0.24694967253220285,0.38311571790170484,5,0.171334557695369,0.33581573308292323
reward,11601,0.22340003742979447,0.36808229911694207,5,0.16461140842797864,0.32263836051883815
reward,11801,0.18209322137490153,0.3551322815885976,5,0.15881998452734025,0.3112871696735869
reward,12001,0.14285392714909861,0.3463343685826971,5,0.15488543821907563,0.30357545890938825
reward,12201,0.12573298887119136,0.3281753689233856,5,0.14676448669075243,0.28765839391387477
reward,12401,0.11983624739308119,0.3196077934728631,5,0.1429329504688071,0.2801485829188619
reward,12601,0.0988556448469434,0.3212898799366146,5,0.1436852024042032,0.2816229967122383
reward,12801,0.08148207525653514,0.32500227520148006,5,0.1453454360385207,0.28487705463550056
reward,13001,0.08738820402199542,0.3288550346956985,5,0.14706844246452674,0.28825414723047244
reward,13201,0.11636430305581892,0.3256343424276861,5,0.14562810509534999,0.285431085986886
reward,13401,0.13364123447166615,0.33605838512074976,5,0.15028987870776006,0.2945681622672097
reward,13601,0.15840095801454204,0.31922726848909333,5,0.14276277452263786,0.2798150380643702
reward,13801,0.1632218305467869,0.3146407055330218,5,0.1407116012120662,0.2757947383756497
reward,14001,0.1474461718052771,0.3147802474879969,5,0.14077400627147368,0.2759170522920884
reward,14201,0.1579341241528833,0.3177061902476611,5,0.1420825276532502,0.27848175420037036
reward,14401,0.1673995324404825,0.31239022330995925,5,0.13970515496548164,0.273822103732344
reward,14601,0.1726957048657922,0.32046849951472767,5,0.14331786991245787,0.2809030250284174
reward,14801,0.15838898579436553,0.3105600798279875,5,0.13888668991862824,0.27221791224051134
reward,15001,0.12392508158969592,0.33376721204047394,5,0.1492652349566172,0.2925598605149697
reward,15201,0.1363686645861723,0.3502583329111828,5,0.1566402884150313,0.30701496529346134
reward,15401,0.1560852515698994,0.35334443872054905,5,0.1580204368901313,0.3097200563046573
reward,15601,0.1307919624389204,0.34590208356959884,5,0.1546921144840872,0.30319654438881094
reward,15801,0.12827477458336475,0.35339570894216427,5,0.1580433656302819,0.3097649966353525
reward,16001,0.14657288923486478,0.3548644267559436,5,0.158700196204557,0.3110523845609317
reward,16201,0.15394959649688839,0.35365428203981303,5,0.15815900303498098,0.3099916459485627
reward,16401,0.1790309170945064,0.3336409331039886,5,0.1492087612993957,0.29244917214681554
reward,16601,0.17645566307790173,0.33143740529512994,5,0.14822331370521186,0.29051769486221524
reward,16801,0.14286442603105118,0.31526450369888137,5,0.14099057223268652,0.27634152157606556
reward,17001,0.14183492502471998,0.3168085478474532,5,0.14168108976798,0.2776949359452408
reward,17201,0.12489556670626703,0.33332307776363085,5,0.14906661206978541,0.2921705596567794
reward,17401,0.1463235754571776,0.33788923469706195,5,0.1511086595296022,0.2961729726780203
reward,17601,0.12696063000652305,0.32237375412272024,5,0.1441699256760411,0.28257305432504054
reward,17801,0.13383287223260168,0.32481660403714735,5,0.1452624013695388,0.28471430668429604
reward,18001,0.13814165994218905,0.34404716046891426,5,0.15386256765485412,0.3015706326035141
reward,18201,0.14443339734145844,0.3487072763488348,5,0.15594663483295984,0.3056554042726013
reward,18401,0.14972664615097903,0.34930685096379976,5,0.15621477275228884,0.30618095459448613
reward,18601,0.1838334253452455,0.36489179553538725,5,0.16318457184981602,0.3198417608256394
reward,18801,0.16749864206247125,0.3686806198942518,5,0.16487898561406167,0.3231628118035609
reward,19001,0.15533682008583985,0.35039571898727667,5,0.1567017293360929,0.30713538949874203
reward,19201,0.16065207331202994,0.3408887489059449,5,0.15245008306370997,0.29880216280487154
reward,19401,0.16066277075063015,0.3585575388887424,5,0.1603518061600505,0.31428954007369897
reward,19601,0.14906853946796625,0.3717038686164088,5,0.16623102354518815,0.3258128061485688
reward,19801,0.16502817717841953,0.36785247815171784,5,0.16450862936779945,0.3224369135608869
reward,20001,0.16322252924298325,0.36891510148669865,5,0.16498384897009838,0.3233683439813928
reward,20201,0.21092906218620017,0.34624458116251094,5,0.15484528406406353,0.30349675676556453
reward,20401,0.21146258959388878,0.36043771647577444,5,0.1611926471389255,0.31593758839229397
reward,20601,0.21241843129142024,0.3331144940988527,5,0.14897333061909743,0.2919877280134309
reward,20801,0.18061322995632312,0.30944400142423406,5,0.13838756448282583,0.27123962638633864
reward,21001,0.16344081268643057,0.30531713993226106,5,0.13654197591687026,0.2676222727970657
reward,21201,0.2114773300751228,0.3262669277240126,5,0.14591100584018057,0.2859855714467539
reward,21401,0.2986946224991913,0.34239116980528156,5,0.1531219861160566,0.3001190927874709
reward,21601,0.33984407768412755,0.3381910895554337,5,0.15124365312613378,0.2964375601272222
